name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG
Vinny Capra,20,32,6,5,2,0,0,1.0,4,9.0,0.0,0.0,0.79,0.644,1.434,3,2022,2024,0.15933333333333335
Vinny Castilla,1854,6822,902,1884,349,28,320,1105.0,423,1069.0,33.0,43.0,4.961,6.985,11.946,16,1991,2006,0.268125
Vinny Rottino,62,97,14,16,4,0,3,11.0,10,24.0,5.0,0.0,1.0070000000000001,1.1139999999999999,2.1210000000000004,5,2006,2012,0.1502
Virgil Davis,1458,4255,388,1312,244,22,77,647.0,386,326.0,6.0,0.0,5.769,6.538,12.307,16,1928,1945,0.2979375
Virgil Stallcup,587,2059,171,497,99,13,22,214.0,51,181.0,9.0,9.333333333333332,1.2,1.509,2.709,7,1947,1953,0.157
Vladimir Guerrero,2966,11300,1803,3495,654,52,609,2003.0,1086,1536.0,201.0,104.0,7.994,11.496,19.49,22,1996,2024,0.3020909090909091
Von Hayes,1495,5249,767,1402,282,36,143,696.0,712,804.0,253.0,97.0,4.181,4.845,9.026,12,1981,1992,0.26258333333333334
Von Joshua,822,2234,277,610,87,31,30,184.0,108,338.0,55.0,40.0,2.661,3.234,5.895,10,1969,1980,0.2367
Wade Boggs,2440,9180,1513,3010,578,61,118,1014.0,1412,745.0,24.0,35.0,7.397,7.907,15.304,18,1982,1999,0.3257777777777778
Wade Johnston,660,2577,484,784,108,54,43,369.0,277,1.0,71.0,0.0,4.106,4.718,8.824,12,1922,1933,0.2805
Wade Meckler,20,56,6,13,1,0,0,4.0,6,25.0,0.0,0.0,0.328,0.25,0.578,1,2023,2023,0.232
Wade Rowdon,78,157,14,34,6,2,1,16.0,14,35.0,3.0,3.0,1.3739999999999999,1.365,2.739,5,1984,1988,0.21680000000000002
Walker Cooper,1473,4702,573,1341,240,40,173,812.0,309,357.0,18.0,2.571428571428571,5.998,8.068,14.066,18,1940,1957,0.2865
Wallace Johnson,428,569,52,145,17,6,5,59.0,52,58.0,19.0,7.0,2.7720000000000002,2.798,5.57,9,1981,1990,0.23299999999999998
Wally Andrews,40,142,22,28,11,4,0,14.0,17,0.0,10.0,0.0,0.556,0.6699999999999999,1.226,2,1884,1888,0.199
Wally Backman,1102,3245,482,893,138,19,10,240.0,371,480.0,117.0,52.0,4.632,4.3919999999999995,9.024,14,1980,1993,0.26007142857142856
Wally Berger,1350,5163,809,1550,299,59,242,898.0,435,693.0,36.0,0.0,3.9379999999999997,5.604,9.542,11,1930,1940,0.2979090909090909
Wally Clement,111,379,35,96,11,4,0,18.0,18,0.0,13.0,0.0,0.516,0.609,1.125,2,1908,1909,0.2395
Wally Flager,70,220,26,53,5,1,2,21.0,25,20.0,1.0,0.0,0.321,0.3,0.621,1,1945,1945,0.241
Wally Gerber,1524,5099,558,1309,172,46,7,476.0,465,357.0,43.0,64.0909090909091,4.696,4.5280000000000005,9.224,15,1914,1929,0.24900000000000003
Wally Gilbert,591,2317,301,624,112,17,7,214.0,162,131.0,21.0,0.0,1.552,1.603,3.1550000000000002,5,1928,1932,0.2562
Wally Hood,66,80,23,19,2,2,1,5.0,14,18.0,5.0,2.0,0.71,0.585,1.295,3,1920,1922,0.13166666666666668
Wally Joyner,2033,7127,973,2060,409,26,204,1106.0,833,825.0,60.0,39.0,5.775,6.901,12.676,16,1986,2001,0.2860625
Wally Judnich,790,2786,424,782,150,29,90,420.0,385,298.0,20.0,28.0,2.497,2.941,5.438,7,1940,1949,0.2722857142857143
Wally Kimmick,163,345,39,90,9,5,1,31.0,34,61.0,4.0,4.5,1.899,1.467,3.366,6,1919,1926,0.19299999999999998
Wally Mattick,170,506,60,115,15,10,1,47.0,47,19.0,18.0,0.0,0.92,0.738,1.658,3,1912,1918,0.19699999999999998
Wally Mayer,133,274,22,53,14,3,0,20.0,42,51.0,1.0,10.5,2.125,1.335,3.46,7,1911,1919,0.14342857142857143
Wally Millies,246,651,60,158,20,3,0,65.0,33,32.0,2.0,0.0,1.025,0.97,1.995,6,1934,1941,0.13983333333333334
Wally Moon,1458,4843,737,1399,212,60,142,661.0,644,591.0,89.0,68.0,4.297,4.982,9.279,12,1954,1965,0.27375
Wally Moses,2014,7356,1124,2138,435,110,89,679.0,821,457.0,174.0,81.0,6.103,6.823,12.926,17,1935,1951,0.2828235294117647
Wally Pipp,1872,6914,974,1941,311,148,90,997.0,596,551.0,125.0,128.57142857142856,4.97,5.981,10.951,15,1913,1928,0.27066666666666667
Wally Post,1205,4007,594,1064,194,28,210,699.0,331,813.0,19.0,13.928571428571429,4.501,6.032,10.533,15,1949,1964,0.23106666666666664
Wally Rehg,264,752,85,188,24,11,2,66.0,50,66.0,26.0,56.0,1.616,1.651,3.267,7,1912,1919,0.1962857142857143
